Geography,Measure Type,Unit,Value
E01005719,count,households,25
E01005720,count,households,70
E01005722,count,households,56
E01005723,count,households,47
E01005724,count,households,3
E01005610,count,households,48
E01032684,count,households,20
E01032687,count,households,3
E01032906,count,households,18
E01032907,count,households,19
E01032909,count,households,3
E01032911,count,households,12
E01033330,count,households,31
E01005654,count,households,54
E01005656,count,households,64
E01005657,count,households,29
E01005721,count,households,12
E01005655,count,households,40
E01005658,count,households,74
E01005681,count,households,16
E01005682,count,households,40
E01005729,count,households,50
E01005730,count,households,27
E01005731,count,households,67
E01005732,count,households,41
E01005599,count,households,21
E01005600,count,households,38
E01005601,count,households,48
E01005602,count,households,45
E01005603,count,households,47
E01005604,count,households,30
E01005605,count,households,33
E01005638,count,households,47
E01005667,count,households,61
E01032685,count,households,4
E01032686,count,households,1
E01032912,count,households,45
E01032914,count,households,16
E01032915,count,households,69
E01032917,count,households,17
E01005639,count,households,75
E01005640,count,households,52
E01005641,count,households,25
E01005642,count,households,11
E01005643,count,households,7
E01005644,count,households,12
E01005645,count,households,4
E01005616,count,households,28
E01005617,count,households,11
E01005618,count,households,39
E01005619,count,households,35
E01005620,count,households,32
E01005621,count,households,27
E01005886,count,households,36
E01005888,count,households,32
E01005889,count,households,29
E01005891,count,households,9
E01005894,count,households,12
E01005887,count,households,55
E01005890,count,households,29
E01005893,count,households,31
E01005896,count,households,30
E01005919,count,households,58
E01005862,count,households,6
E01005892,count,households,22
E01005895,count,households,19
E01005920,count,households,8
E01005921,count,households,30
E01005922,count,households,10
E01005753,count,households,73
E01005754,count,households,60
E01005755,count,households,69
E01005756,count,households,88
E01005745,count,households,22
E01005746,count,households,13
E01005747,count,households,4
E01005748,count,households,3
E01005863,count,households,8
E01005864,count,households,8
E01005866,count,households,11
E01005869,count,households,9
E01005914,count,households,15
E01005915,count,households,29
E01005916,count,households,29
E01005917,count,households,51
E01005859,count,households,4
E01005865,count,households,3
E01005867,count,households,2
E01005868,count,households,12
E01005743,count,households,10
E01005744,count,households,19
E01005749,count,households,16
E01005750,count,households,19
E01005751,count,households,26
E01005897,count,households,26
E01005898,count,households,12
E01005900,count,households,17
E01005903,count,households,1
E01005904,count,households,7
E01005853,count,households,36
E01005856,count,households,12
E01005860,count,households,4
E01005861,count,households,8
E01005752,count,households,39
E01005899,count,households,14
E01005901,count,households,1
E01005902,count,households,47
E01005905,count,households,44
E01005852,count,households,6
E01005854,count,households,2
E01005855,count,households,4
E01005857,count,households,4
E01005858,count,households,8
E01005757,count,households,28
E01005758,count,households,41
E01005766,count,households,28
E01005918,count,households,60
E01005870,count,households,29
E01005871,count,households,24
E01005873,count,households,9
E01005875,count,households,12
E01005764,count,households,35
E01005816,count,households,37
E01005817,count,households,21
E01005822,count,households,45
E01005880,count,households,4
E01005881,count,households,2
E01005883,count,households,2
E01005908,count,households,5
E01005765,count,households,7
E01005818,count,households,37
E01005819,count,households,10
E01005820,count,households,24
E01005821,count,households,15
E01005823,count,households,24
E01005825,count,households,9
E01005872,count,households,36
E01005874,count,households,37
E01005876,count,households,14
E01005877,count,households,19
E01005878,count,households,26
E01005879,count,households,10
E01005882,count,households,3
E01005884,count,households,4
E01005885,count,households,8
E01005832,count,households,8
E01005833,count,households,5
E01005835,count,households,6
E01005837,count,households,13
E01005843,count,households,5
E01005769,count,households,18
E01005778,count,households,5
E01005779,count,households,14
E01005780,count,households,9
E01005781,count,households,41
E01005759,count,households,25
E01005760,count,households,44
E01005797,count,households,19
E01005800,count,households,11
E01005804,count,households,18
E01005824,count,households,7
E01005826,count,households,39
E01005827,count,households,3
E01005828,count,households,49
E01005829,count,households,37
E01005768,count,households,4
E01005770,count,households,2
E01005771,count,households,2
E01005775,count,households,3
E01005761,count,households,31
E01005762,count,households,73
E01005763,count,households,52
E01005799,count,households,76
E01005798,count,households,10
E01005801,count,households,14
E01005802,count,households,6
E01005803,count,households,5
E01005830,count,households,13
E01005831,count,households,13
E01005767,count,households,3
E01005772,count,households,10
E01005773,count,households,7
E01005774,count,households,17
E01005776,count,households,6
E01005909,count,households,5
E01005910,count,households,21
E01005911,count,households,3
E01005912,count,households,4
E01005782,count,households,5
E01005783,count,households,10
E01005784,count,households,5
E01005785,count,households,3
E01005786,count,households,5
E01005834,count,households,19
E01005836,count,households,13
E01005838,count,households,23
E01005840,count,households,19
E01005927,count,households,7
E01005928,count,households,23
E01005929,count,households,4
E01005930,count,households,2
E01005806,count,households,3
E01005813,count,households,4
E01005814,count,households,0
E01005815,count,households,6
E01005777,count,households,17
E01005787,count,households,2
E01005788,count,households,5
E01005790,count,households,8
E01005805,count,households,1
E01005807,count,households,0
E01005839,count,households,5
E01005841,count,households,10
E01005844,count,households,5
E01005845,count,households,6
E01005849,count,households,1
E01005851,count,households,4
E01005808,count,households,7
E01005809,count,households,4
E01005810,count,households,9
E01005811,count,households,5
E01005812,count,households,3
E01005842,count,households,8
E01005906,count,households,2
E01005907,count,households,6
E01005913,count,households,6
E01005789,count,households,3
E01005791,count,households,6
E01005793,count,households,5
E01005795,count,households,3
E01005796,count,households,4
E01005846,count,households,4
E01005847,count,households,8
E01005848,count,households,6
E01005850,count,households,22
E01005792,count,households,1
E01005794,count,households,1
E01005923,count,households,1
E01005931,count,households,5
E01005924,count,households,4
E01005925,count,households,4
E01005926,count,households,4
E01005932,count,households,2
E01006053,count,households,11
E01006054,count,households,22
E01006055,count,households,9
E01006057,count,households,21
E01006058,count,households,21
E01006059,count,households,13
E01005938,count,households,20
E01005939,count,households,10
E01005940,count,households,8
E01005955,count,households,5
E01006056,count,households,41
E01006061,count,households,50
E01006062,count,households,8
E01006063,count,households,8
E01005936,count,households,10
E01005937,count,households,38
E01005945,count,households,55
E01005946,count,households,26
E01005947,count,households,44
E01005954,count,households,8
E01005956,count,households,2
E01005957,count,households,12
E01005958,count,households,37
E01005959,count,households,60
E01005933,count,households,57
E01005934,count,households,31
E01005935,count,households,51
E01005949,count,households,21
E01005960,count,households,37
E01005941,count,households,39
E01005942,count,households,9
E01005943,count,households,21
E01005944,count,households,5
E01006060,count,households,39
E01006064,count,households,35
E01006065,count,households,58
E01006066,count,households,29
E01006067,count,households,8
E01006068,count,households,18
E01006069,count,households,54
E01006073,count,households,46
E01005993,count,households,10
E01005995,count,households,7
E01005996,count,households,34
E01005997,count,households,22
E01006000,count,households,25
E01005994,count,households,20
E01005999,count,households,54
E01006002,count,households,24
E01006004,count,households,11
E01006005,count,households,38
E01006007,count,households,20
E01005998,count,households,23
E01006001,count,households,23
E01006003,count,households,18
E01006006,count,households,17
E01005948,count,households,31
E01005950,count,households,37
E01005951,count,households,42
E01005952,count,households,56
E01005953,count,households,43
E01005961,count,households,11
E01005962,count,households,10
E01005968,count,households,8
E01005969,count,households,9
E01006022,count,households,7
E01006023,count,households,23
E01006070,count,households,9
E01006071,count,households,1
E01006072,count,households,5
E01006009,count,households,15
E01006017,count,households,2
E01006018,count,households,3
E01006021,count,households,9
E01006008,count,households,25
E01006010,count,households,27
E01006012,count,households,22
E01006015,count,households,5
E01006016,count,households,41
E01006011,count,households,31
E01006013,count,households,8
E01006014,count,households,35
E01006019,count,households,23
E01006020,count,households,29
E01005963,count,households,12
E01005964,count,households,17
E01005965,count,households,41
E01005966,count,households,27
E01005967,count,households,25
E01006031,count,households,33
E01006032,count,households,26
E01006033,count,households,36
E01006034,count,households,55
E01006035,count,households,25
E01006036,count,households,48
E01005970,count,households,1
E01005972,count,households,43
E01005974,count,households,30
E01005975,count,households,27
E01006024,count,households,7
E01006026,count,households,11
E01006037,count,households,0
E01006038,count,households,17
E01006047,count,households,18
E01006048,count,households,2
E01006049,count,households,23
E01006051,count,households,19
E01005985,count,households,7
E01005987,count,households,3
E01005988,count,households,6
E01005990,count,households,6
E01005991,count,households,10
E01005971,count,households,28
E01005986,count,households,15
E01005989,count,households,3
E01005992,count,households,25
E01005973,count,households,10
E01005976,count,households,28
E01005977,count,households,6
E01005978,count,households,33
E01006025,count,households,50
E01006027,count,households,52
E01006050,count,households,84
E01006052,count,households,27
E01006028,count,households,46
E01006029,count,households,28
E01006030,count,households,33
E01006039,count,households,16
E01006040,count,households,25
E01006041,count,households,20
E01005979,count,households,18
E01005980,count,households,30
E01005981,count,households,29
E01005982,count,households,32
E01005983,count,households,14
E01005984,count,households,42
E01006042,count,households,17
E01006043,count,households,16
E01006044,count,households,4
E01006045,count,households,4
E01006046,count,households,6
E01006109,count,households,41
E01006110,count,households,34
E01006111,count,households,46
E01006112,count,households,32
E01006185,count,households,40
E01006188,count,households,17
E01006116,count,households,7
E01006117,count,households,8
E01006118,count,households,14
E01006119,count,households,4
E01006121,count,households,14
E01006141,count,households,26
E01006186,count,households,44
E01006187,count,households,41
E01006189,count,households,41
E01006113,count,households,12
E01006114,count,households,28
E01006115,count,households,22
E01006145,count,households,43
E01006146,count,households,29
E01006122,count,households,5
E01006123,count,households,20
E01006124,count,households,3
E01006128,count,households,7
E01006131,count,households,8
E01006155,count,households,12
E01006157,count,households,18
E01006159,count,households,54
E01006182,count,households,9
E01006183,count,households,10
E01006125,count,households,10
E01006126,count,households,41
E01006127,count,households,16
E01006130,count,households,6
E01006132,count,households,5
E01006156,count,households,27
E01006158,count,households,33
E01006179,count,households,19
E01006184,count,households,23
E01006198,count,households,14
E01006199,count,households,23
E01006200,count,households,11
E01006201,count,households,11
E01006202,count,households,7
E01006120,count,households,5
E01006129,count,households,9
E01006133,count,households,2
E01006197,count,households,8
E01006203,count,households,1
E01006142,count,households,29
E01006143,count,households,10
E01006144,count,households,47
E01006180,count,households,25
E01006181,count,households,16
E01006147,count,households,2
E01006149,count,households,8
E01006150,count,households,6
E01006154,count,households,1
E01006165,count,households,15
E01006166,count,households,25
E01006169,count,households,15
E01006170,count,households,10
E01006171,count,households,36
E01006098,count,households,2
E01006099,count,households,10
E01006164,count,households,1
E01006174,count,households,4
E01006178,count,households,3
E01006097,count,households,7
E01006160,count,households,11
E01006161,count,households,8
E01006162,count,households,3
E01006163,count,households,14
E01006148,count,households,11
E01006151,count,households,1
E01006152,count,households,5
E01006153,count,households,2
E01006172,count,households,7
E01006104,count,households,28
E01006105,count,households,107
E01006106,count,households,51
E01006107,count,households,28
E01006108,count,households,94
E01006102,count,households,9
E01006173,count,households,3
E01006175,count,households,57
E01006176,count,households,16
E01006177,count,households,46
E01006091,count,households,20
E01006092,count,households,34
E01006095,count,households,6
E01006167,count,households,52
E01006168,count,households,82
E01006090,count,households,8
E01006094,count,households,3
E01006096,count,households,3
E01006100,count,households,6
E01006103,count,households,4
E01006101,count,households,3
E01006190,count,households,2
E01006195,count,households,3
E01006196,count,households,3
E01006210,count,households,13
E01006204,count,households,6
E01006206,count,households,30
E01006207,count,households,33
E01006208,count,households,25
E01006211,count,households,23
E01006093,count,households,7
E01006191,count,households,4
E01006192,count,households,4
E01006205,count,households,2
E01006209,count,households,4
E01006078,count,households,16
E01006080,count,households,7
E01006089,count,households,9
E01006193,count,households,9
E01006194,count,households,18
E01006074,count,households,11
E01006075,count,households,10
E01006076,count,households,7
E01006079,count,households,10
E01006087,count,households,3
E01006083,count,households,2
E01006084,count,households,5
E01006088,count,households,7
E01006139,count,households,4
E01006140,count,households,6
E01006077,count,households,9
E01006081,count,households,2
E01006082,count,households,7
E01006085,count,households,2
E01006086,count,households,15
E01006134,count,households,8
E01006135,count,households,10
E01006136,count,households,2
E01006137,count,households,2
E01006138,count,households,15
E01006315,count,households,6
E01006316,count,households,4
E01006317,count,households,15
E01006319,count,households,11
E01006229,count,households,7
E01006230,count,households,2
E01006233,count,households,3
E01006237,count,households,10
E01006238,count,households,22
E01006259,count,households,14
E01006312,count,households,8
E01006313,count,households,16
E01006314,count,households,3
E01006318,count,households,9
E01006320,count,households,5
E01006321,count,households,10
E01006231,count,households,8
E01006232,count,households,6
E01006234,count,households,13
E01006235,count,households,24
E01006253,count,households,25
E01006254,count,households,50
E01006255,count,households,7
E01006256,count,households,12
E01006260,count,households,26
E01006370,count,households,14
E01006372,count,households,1
E01006373,count,households,7
E01006374,count,households,2
E01006390,count,households,18
E01006236,count,households,3
E01006388,count,households,18
E01006389,count,households,21
E01006391,count,households,7
E01006257,count,households,12
E01006258,count,households,19
E01006369,count,households,30
E01006371,count,households,10
E01006375,count,households,8
E01006306,count,households,24
E01006307,count,households,32
E01006386,count,households,29
E01006387,count,households,19
E01006392,count,households,45
E01006350,count,households,64
E01006351,count,households,99
E01006357,count,households,64
E01006360,count,households,74
E01006361,count,households,61
E01006356,count,households,31
E01006396,count,households,6
E01006397,count,households,15
E01006398,count,households,17
E01006399,count,households,19
E01006305,count,households,61
E01006308,count,households,32
E01006309,count,households,46
E01006310,count,households,48
E01006311,count,households,48
E01006269,count,households,22
E01006271,count,households,16
E01006272,count,households,19
E01006273,count,households,36
E01006276,count,households,21
E01006353,count,households,16
E01006354,count,households,30
E01006355,count,households,19
E01006358,count,households,30
E01006359,count,households,30
E01006349,count,households,16
E01006352,count,households,26
E01006404,count,households,29
E01006405,count,households,34
E01006411,count,households,64
E01006270,count,households,19
E01006274,count,households,38
E01006275,count,households,52
E01006277,count,households,11
E01006286,count,households,5
E01006239,count,households,39
E01006240,count,households,67
E01006241,count,households,65
E01006287,count,households,3
E01006289,count,households,47
E01006362,count,households,5
E01006363,count,households,5
E01006364,count,households,15
E01006365,count,households,13
E01006366,count,households,10
E01006367,count,households,3
E01006368,count,households,20
E01006278,count,households,15
E01006279,count,households,7
E01006280,count,households,16
E01006281,count,households,10
E01006285,count,households,4
E01006406,count,households,3
E01006407,count,households,4
E01006408,count,households,35
E01006409,count,households,3
E01006410,count,households,1
E01006393,count,households,5
E01006394,count,households,4
E01006395,count,households,2
E01006400,count,households,7
E01006401,count,households,3
E01006402,count,households,2
E01006403,count,households,5
E01006290,count,households,6
E01006291,count,households,18
E01006292,count,households,15
E01006293,count,households,23
E01006242,count,households,12
E01006243,count,households,11
E01006244,count,households,25
E01006245,count,households,21
E01006213,count,households,46
E01006215,count,households,50
E01006217,count,households,42
E01006218,count,households,47
E01006219,count,households,21
E01006288,count,households,65
E01006294,count,households,37
E01006295,count,households,26
E01006377,count,households,8
E01006378,count,households,3
E01006212,count,households,10
E01006214,count,households,40
E01006216,count,households,25
E01006322,count,households,30
E01006329,count,households,25
E01006282,count,households,18
E01006283,count,households,47
E01006284,count,households,28
E01006336,count,households,64
E01006337,count,households,17
E01006376,count,households,32
E01006381,count,households,8
E01006382,count,households,2
E01006383,count,households,12
E01006384,count,households,6
E01006250,count,households,5
E01006251,count,households,3
E01006379,count,households,11
E01006380,count,households,34
E01006385,count,households,4
E01006328,count,households,23
E01006333,count,households,29
E01006334,count,households,45
E01006338,count,households,26
E01006248,count,households,38
E01006249,count,households,39
E01006330,count,households,6
E01006331,count,households,3
E01006332,count,households,12
E01006262,count,households,26
E01006263,count,households,2
E01006266,count,households,4
E01006267,count,households,36
E01006268,count,households,20
E01006323,count,households,40
E01006324,count,households,36
E01006325,count,households,22
E01006326,count,households,20
E01006327,count,households,35
E01006246,count,households,25
E01006247,count,households,2
E01006252,count,households,5
E01006297,count,households,36
E01006335,count,households,28
E01006220,count,households,36
E01006221,count,households,18
E01006222,count,households,2
E01006224,count,households,5
E01006226,count,households,11
E01006223,count,households,17
E01006225,count,households,11
E01006261,count,households,11
E01006264,count,households,2
E01006265,count,households,17
E01006296,count,households,61
E01006298,count,households,35
E01006299,count,households,9
E01006300,count,households,3
E01006301,count,households,3
E01006227,count,households,5
E01006228,count,households,36
E01006342,count,households,19
E01006344,count,households,39
E01006346,count,households,25
E01006339,count,households,3
E01006340,count,households,29
E01006343,count,households,9
E01006345,count,households,10
E01006348,count,households,1
E01006302,count,households,9
E01006303,count,households,2
E01006304,count,households,18
E01006341,count,households,26
E01006347,count,households,3
E05000650,count,households,113
E05000651,count,households,113
E05000652,count,households,284
E05000653,count,households,61
E05000654,count,households,241
E05000655,count,households,395
E05000656,count,households,283
E05000657,count,households,305
E05000658,count,households,290
E05000659,count,households,43
E05000660,count,households,94
E05000661,count,households,103
E05000662,count,households,159
E05000663,count,households,179
E05000664,count,households,134
E05000665,count,households,254
E05000666,count,households,162
E05000667,count,households,256
E05000668,count,households,86
E05000669,count,households,131
E05000670,count,households,172
E05000671,count,households,84
E05000672,count,households,204
E05000673,count,households,123
E05000674,count,households,102
E05000675,count,households,216
E05000676,count,households,37
E05000677,count,households,46
E05000678,count,households,185
E05000679,count,households,97
E05000680,count,households,238
E05000681,count,households,83
E05000682,count,households,136
E05000683,count,households,94
E05000684,count,households,97
E05000685,count,households,45
E05000686,count,households,68
E05000687,count,households,434
E05000688,count,households,408
E05000689,count,households,347
E05000690,count,households,477
E05000691,count,households,262
E05000692,count,households,395
E05000693,count,households,430
E05000694,count,households,475
E05000695,count,households,49
E05000696,count,households,271
E05000697,count,households,13
E05000698,count,households,306
E05000699,count,households,87
E05000700,count,households,55
E05000701,count,households,230
E05000702,count,households,517
E05000703,count,households,546
E05000704,count,households,658
E05000705,count,households,413
E05000706,count,households,259
E05000707,count,households,143
E05000708,count,households,250
E05000709,count,households,559
E05000710,count,households,632
E05000711,count,households,282
E05000712,count,households,311
E05000713,count,households,257
E05000714,count,households,157
E05000715,count,households,515
E05000716,count,households,178
E05000717,count,households,78
E05000718,count,households,369
E05000719,count,households,390
E05000720,count,households,97
E05000721,count,households,105
E05000722,count,households,166
E05000723,count,households,216
E05000724,count,households,84
E05000725,count,households,130
E05000726,count,households,150
E05000727,count,households,355
E05000728,count,households,265
E05000729,count,households,92
E05000730,count,households,80
E05000731,count,households,42
E05000732,count,households,41
E05000733,count,households,63
E05000734,count,households,289
E05000735,count,households,320
E05000736,count,households,122
E05000737,count,households,260
E05000738,count,households,202
E05000739,count,households,280
E05000740,count,households,82
E05000741,count,households,148
E05000742,count,households,221
E05000743,count,households,150
E05000744,count,households,113
E05000745,count,households,195
E05000746,count,households,283
E05000747,count,households,83
E05000748,count,households,229
E05000749,count,households,67
E05000750,count,households,25
E05000751,count,households,180
E05000752,count,households,168
E05000753,count,households,275
E05000754,count,households,88
E05000755,count,households,183
E05000756,count,households,76
E05000757,count,households,253
E05000758,count,households,338
E05000759,count,households,314
E05000760,count,households,41
E05000761,count,households,327
E05000762,count,households,172
E05000763,count,households,65
E05000764,count,households,92
E05000765,count,households,186
E05000766,count,households,322
E05000767,count,households,187
E05000768,count,households,365
E05000769,count,households,476
E05000770,count,households,232
E05000771,count,households,274
E05000772,count,households,232
E05000773,count,households,176
E05000774,count,households,302
E05000775,count,households,95
E05000776,count,households,233
E05000777,count,households,323
E05000778,count,households,33
E05000779,count,households,65
E05000780,count,households,24
E05000781,count,households,132
E05000782,count,households,203
E05000783,count,households,501
E05000784,count,households,69
E05000785,count,households,97
E05000786,count,households,57
E05000787,count,households,345
E05000788,count,households,246
E05000789,count,households,99
E05000790,count,households,55
E05000791,count,households,102
E05000792,count,households,87
E05000793,count,households,167
E05000794,count,households,54
E05000795,count,households,63
E05000796,count,households,173
E05000797,count,households,285
E05000798,count,households,193
E05000799,count,households,63
E05000800,count,households,225
E05000801,count,households,199
E05000802,count,households,161
E05000803,count,households,135
E05000804,count,households,152
E05000805,count,households,215
E05000806,count,households,79
E05000807,count,households,181
E05000808,count,households,165
E05000809,count,households,206
E05000810,count,households,90
E05000811,count,households,212
E05000812,count,households,240
E05000813,count,households,102
E05000814,count,households,194
E05000815,count,households,138
E05000816,count,households,255
E05000817,count,households,239
E05000818,count,households,138
E05000819,count,households,73
E05000820,count,households,45
E05000821,count,households,38
E05000822,count,households,83
E05000823,count,households,41
E05000824,count,households,341
E05000825,count,households,230
E05000826,count,households,74
E05000827,count,households,93
E05000828,count,households,39
E05000829,count,households,239
E05000830,count,households,47
E05000831,count,households,36
E05000832,count,households,190
E05000833,count,households,51
E05000834,count,households,188
E05000835,count,households,130
E05000836,count,households,151
E05000837,count,households,22
E05000838,count,households,71
E05000839,count,households,127
E05000840,count,households,312
E05000841,count,households,103
E05000842,count,households,110
E05000843,count,households,70
E05000844,count,households,166
E05000845,count,households,280
E05000846,count,households,129
E05000847,count,households,291
E05000848,count,households,158
E05000849,count,households,223
E05000850,count,households,70
E05000851,count,households,364
E05000852,count,households,153
E05000853,count,households,201
E05000854,count,households,299
E05000855,count,households,78
E05000856,count,households,55
E05000857,count,households,326
E05000858,count,households,76
E05000859,count,households,75
E05000860,count,households,209
E05000861,count,households,75
E05000862,count,households,177
E05000863,count,households,28
E05000864,count,households,173
E08000001,count,households,3686
E08000002,count,households,2027
E08000003,count,households,10363
E08000004,count,households,3469
E08000005,count,households,3437
E08000006,count,households,4447
E08000007,count,households,3080
E08000008,count,households,3326
E08000009,count,households,2309
E08000010,count,households,4201
E47000001,count,households,40345
